time,lux,hum,temp
2026-06-27 00:55:00+00:00,100,74,28.2
2026-06-27 01:00:00+00:00,100,74,28.2
2026-06-27 01:05:00+00:00,100,74,28.2
2026-06-27 01:10:00+00:00,100,74,28.2
2026-06-27 01:15:00+00:00,100,74,28.2
2026-06-27 01:20:00+00:00,100,74,28.2
2026-06-27 01:25:00+00:00,100,74,28.2
2026-06-27 01:30:00+00:00,100,74,28.2
2026-06-27 01:35:00+00:00,100,74,28.1
2026-06-27 01:40:00+00:00,100,74,28.1
2026-06-27 01:45:00+00:00,100,74,28.1
2026-06-27 01:50:00+00:00,100,74,28.1
2026-06-27 01:55:00+00:00,100,74,28.1
2026-06-27 02:00:00+00:00,100,74,28.1
2026-06-27 02:05:00+00:00,100,74,28.1
2026-06-27 02:10:00+00:00,100,74,28.1
2026-06-27 02:15:00+00:00,100,74,28.1
2026-06-27 02:20:00+00:00,100,74,28.1
2026-06-27 02:25:00+00:00,100,74,28.1
2026-06-27 02:30:00+00:00,100,74,28.1
2026-06-27 02:35:00+00:00,100,74,28.1
2026-06-27 02:40:00+00:00,100,74,28.1
2026-06-27 02:45:00+00:00,100,75,28
2026-06-27 02:50:00+00:00,100,75,28
2026-06-27 02:55:00+00:00,100,75,28
2026-06-27 03:00:00+00:00,100,75,28
2026-06-27 03:05:00+00:00,100,75,28
2026-06-27 03:10:00+00:00,100,75,28
2026-06-27 03:15:00+00:00,100,75,28
2026-06-27 03:20:00+00:00,100,75,28
2026-06-27 03:25:00+00:00,100,75,28
2026-06-27 03:30:00+00:00,100,75,28
2026-06-27 03:35:00+00:00,100,75,28
2026-06-27 03:40:00+00:00,98.3,75,28
2026-06-27 03:45:00+00:00,93.6,75,28
2026-06-27 03:50:00+00:00,89.1,75,28
2026-06-27 03:55:00+00:00,83.7,75,28
2026-06-27 04:00:00+00:00,77.6,74,27.9
2026-06-27 04:05:00+00:00,73.4,75,28
2026-06-27 04:10:00+00:00,69.7,74,27.9
2026-06-27 04:15:00+00:00,66,74,27.9
2026-06-27 04:20:00+00:00,61.9,74,27.9
2026-06-27 04:25:00+00:00,57.6,74,27.9
2026-06-27 04:30:00+00:00,53.4,74,27.9
2026-06-27 04:35:00+00:00,48.9,74,27.9
2026-06-27 04:40:00+00:00,27.4,74,27.9
2026-06-27 04:45:00+00:00,8.4,74,27.9
2026-06-27 04:50:00+00:00,7.9,74,27.9
2026-06-27 04:55:00+00:00,7.6,74,27.9
2026-06-27 05:00:00+00:00,7.3,74,28
2026-06-27 05:05:00+00:00,7.1,74,28
2026-06-27 05:10:00+00:00,7.1,74,28
2026-06-27 05:15:00+00:00,7,74,28
2026-06-27 05:20:00+00:00,7.1,74,28
2026-06-27 05:25:00+00:00,7.4,74,28
2026-06-27 05:30:00+00:00,7.7,74,28
2026-06-27 05:35:00+00:00,8.1,73,28
2026-06-27 05:40:00+00:00,8.7,74,28.1
2026-06-27 05:45:00+00:00,9.6,74,28.1
2026-06-27 05:50:00+00:00,10.2,74,28.1
2026-06-27 05:55:00+00:00,10.4,74,28.1
2026-06-27 06:00:00+00:00,10.5,73,28.1
2026-06-27 06:05:00+00:00,11,73,28.2
2026-06-27 06:10:00+00:00,11.2,73,28.2
2026-06-27 06:15:00+00:00,11.6,73,28.2
2026-06-27 06:20:00+00:00,11.5,73,28.2
2026-06-27 06:25:00+00:00,11.8,74,28.2
2026-06-27 06:30:00+00:00,12,72,28
2026-06-27 06:35:00+00:00,12.5,66,27.9
2026-06-27 06:40:00+00:00,12.8,66,27.8
2026-06-27 06:45:00+00:00,12.7,67,27.9
2026-06-27 06:50:00+00:00,12.4,68,27.9
2026-06-27 06:55:00+00:00,12.3,69,28
2026-06-27 07:00:00+00:00,12.2,69,28.2
2026-06-27 07:05:00+00:00,12,69,28.2
2026-06-27 07:10:00+00:00,11.8,69,28.2
2026-06-27 07:15:00+00:00,12.2,70,28.2
2026-06-27 07:20:00+00:00,12.7,71,28.1
2026-06-27 07:25:00+00:00,12.9,70,28
2026-06-27 07:30:00+00:00,13.6,70,28.1
2026-06-27 07:35:00+00:00,15,70,28.2
2026-06-27 07:40:00+00:00,16,69,28.3
2026-06-27 07:45:00+00:00,16.5,69,28.3
2026-06-27 07:50:00+00:00,17,69,28.3
2026-06-27 07:55:00+00:00,17.4,69,28.3
2026-06-27 08:00:00+00:00,18.5,70,28.3
2026-06-27 08:05:00+00:00,20.5,70,28.3
2026-06-27 08:10:00+00:00,21.3,70,28.4
2026-06-27 08:15:00+00:00,22.5,70,28.4
2026-06-27 08:20:00+00:00,23.1,70,28.4
2026-06-27 08:25:00+00:00,23.9,70,28.4
2026-06-27 08:30:00+00:00,24.5,70,28.4
2026-06-27 08:35:00+00:00,25.2,70,28.4
2026-06-27 08:40:00+00:00,26.8,70,28.4
2026-06-27 08:45:00+00:00,27.3,70,28.4
2026-06-27 08:50:00+00:00,27.5,71,28.4
2026-06-27 08:55:00+00:00,27.9,71,28.3
2026-06-27 09:00:00+00:00,27.3,71,28.2
2026-06-27 09:05:00+00:00,28.5,70,28.2
2026-06-27 09:10:00+00:00,29,69,28.2
2026-06-27 09:15:00+00:00,29.4,68,28.2
2026-06-27 09:20:00+00:00,30,68,28.3
2026-06-27 09:25:00+00:00,29.7,69,28.3
2026-06-27 09:30:00+00:00,30.3,68,28.4
2026-06-27 09:35:00+00:00,30.3,68,28.4
2026-06-27 09:40:00+00:00,30.6,69,28.3
2026-06-27 09:45:00+00:00,30.7,67,28.2
2026-06-27 09:50:00+00:00,31.3,67,28.3
2026-06-27 09:55:00+00:00,31.8,67,28.3
2026-06-27 10:00:00+00:00,33,67,28.4
2026-06-27 10:05:00+00:00,31.6,67,28.4
2026-06-27 10:10:00+00:00,32.1,67,28.4
2026-06-27 10:15:00+00:00,33.3,67,28.4
2026-06-27 10:20:00+00:00,34.1,68,28.4
2026-06-27 10:25:00+00:00,32.7,68,28.4
2026-06-27 10:30:00+00:00,34.3,68,28.4
2026-06-27 10:35:00+00:00,34.2,68,28.4
2026-06-27 10:40:00+00:00,35,69,28.3
2026-06-27 10:45:00+00:00,36.3,63,28.1
2026-06-27 10:50:00+00:00,36.9,63,28
2026-06-27 10:55:00+00:00,37.7,63,28
2026-06-27 11:00:00+00:00,37.9,62,28
2026-06-27 11:05:00+00:00,38.2,63,28
2026-06-27 11:10:00+00:00,38.7,62,27.9
2026-06-27 11:15:00+00:00,38.4,62,28
2026-06-27 11:20:00+00:00,40.7,62,28
2026-06-27 11:25:00+00:00,40.1,62,28
2026-06-27 11:30:00+00:00,40.6,60,27.9
2026-06-27 11:35:00+00:00,39.7,61,28
2026-06-27 11:40:00+00:00,40.8,61,28
2026-06-27 11:45:00+00:00,40.8,62,28
2026-06-27 11:50:00+00:00,41.3,62,28
2026-06-27 11:55:00+00:00,41.5,61,28
2026-06-27 12:00:00+00:00,41.7,62,28.2
2026-06-27 12:05:00+00:00,42.2,62,28.2
2026-06-27 12:10:00+00:00,42.2,60,28.2
2026-06-27 12:15:00+00:00,42.4,61,28.1
2026-06-27 12:20:00+00:00,42.8,61,28.3
2026-06-27 12:25:00+00:00,42.6,62,28.3
2026-06-27 12:30:00+00:00,42.9,62,28.3
2026-06-27 12:35:00+00:00,42.4,62,28.4
2026-06-27 12:40:00+00:00,42.2,63,28.4
2026-06-27 12:45:00+00:00,43,63,28.4
2026-06-27 12:50:00+00:00,42.5,63,28.4
2026-06-27 12:55:00+00:00,42.1,63,28.4
2026-06-27 13:00:00+00:00,42.4,64,28.4
2026-06-27 13:05:00+00:00,42.2,64,28.4
2026-06-27 13:10:00+00:00,42.6,64,28.3
2026-06-27 13:15:00+00:00,42.6,65,28.4
2026-06-27 13:20:00+00:00,42.4,66,28.4
2026-06-27 13:25:00+00:00,42.7,66,28.3
